134
79	23	8
4	11	0
48	34	10
30	2	2
25	16	1
78	35	7
9	55	0
79	36	4
39	54	0
22	25	8
75	0	2
23	60	2
40	60	2
22	36	4
13	36	4
36	31	2
36	28	5
45	24	11
50	36	4
50	56	7
46	8	2
9	43	11
62	34	2
50	3	11
35	76	11
39	10	11
39	60	2
9	17	1
62	60	2
22	77	11
38	2	2
42	2	2
46	60	2
46	10	11
56	18	1
34	41	2
13	49	1
6	53	11
25	26	2
30	40	10
83	2	2
4	67	2
75	39	8
6	0	2
56	73	0
35	16	1
36	7	11
75	51	2
4	52	1
79	68	11
79	23	7
42	26	10
13	15	8
30	34	10
38	67	10
23	52	1
46	54	0
45	74	1
48	2	2
8	41	2
38	40	10
71	8	10
4	60	2
45	0	2
50	62	8
79	0	2
39	33	1
50	9	7
84	60	2
14	2	2
9	60	2
26	60	2
6	51	2
56	41	2
46	33	1
75	37	1
22	0	2
79	29	1
13	0	2
25	60	2
27	2	2
23	41	2
75	36	4
50	0	2
35	41	2
21	40	10
75	39	7
23	67	2
27	8	10
59	2	2
82	40	10
14	26	10
78	0	2
83	26	10
22	58	1
9	84	2
36	72	2
82	2	2
21	2	2
13	15	7
71	2	2
50	9	9
45	51	2
79	51	2
4	69	11
45	46	8
45	46	7
48	40	10
67	41	2
23	11	0
22	51	2
13	51	2
56	81	11
15	41	2
36	80	12
39	41	2
35	12	0
82	34	10
66	84	10
62	41	2
34	60	2
50	51	2
6	4	8
25	12	0
50	20	1
62	32	0
50	62	7
35	60	2
62	64	11
78	35	8
35	26	2
78	51	2
15	57	1
15	19	11
