2346
4059	3062	0
1802	2679	1
1997	297	0
4002	297	0
4606	425	0
2523	4414	1
5665	2555	12
3084	1183	4
2924	2611	1
2165	2294	0
5386	2555	12
5461	5700	1
2180	3716	12
5551	2218	4
3558	360	12
3717	3445	1
3391	3062	0
5396	746	1
270	2611	1
3523	4414	1
1468	4862	0
5106	3062	0
4158	2376	4
1805	3962	6
1258	2294	0
5463	2679	1
1309	3962	6
1196	5623	1
1780	3353	1
4470	3062	0
3242	2294	0
2773	2679	1
3220	5623	1
4727	3062	0
4899	421	12
3741	2679	1
247	5700	1
1207	5194	4
672	2679	1
4854	5495	12
1329	297	0
4884	5677	4
4167	5495	12
399	3103	1
1029	2611	1
4743	3229	4
5158	3217	1
1704	3062	0
900	3432	12
2245	323	12
5114	2611	1
2272	3611	12
3929	923	12
1922	3716	12
3580	4893	4
4692	2611	1
2886	923	12
4521	360	12
147	1807	12
1903	578	12
223	3716	12
1034	3217	1
700	2611	1
3491	1055	4
5360	2611	1
4459	4781	4
5284	3611	12
4885	3062	0
2513	3611	12
1535	2294	0
5205	2679	1
651	4583	1
1223	425	0
2634	3217	1
1706	421	12
2746	2294	0
560	2679	1
3564	3611	12
5401	578	12
542	2679	1
5029	2621	12
473	4137	12
3082	4909	4
3475	746	1
4734	2611	1
408	2681	4
3659	4414	1
1626	2294	0
4468	3217	1
3713	418	4
2901	893	12
1098	4862	0
5104	2679	1
3448	3079	4
1930	4137	12
102	578	12
4992	2294	0
3520	1564	4
2898	2621	12
4119	2611	1
3367	3962	6
45	3353	1
2142	2508	12
4147	360	12
854	4825	0
5259	425	0
417	3716	12
162	2679	1
2981	2679	1
358	5623	1
5008	746	1
5667	3424	4
4705	3611	12
5264	4137	12
2650	578	12
4453	3445	1
112	746	1
4195	394	4
4224	4489	4
282	2508	12
3383	4137	12
3067	1953	4
3410	2294	0
5593	5623	1
180	3062	0
1201	5623	1
4185	2294	0
898	3611	12
1513	2555	12
5638	3353	1
4708	3039	4
1732	3445	1
4430	360	12
2662	2555	12
3807	4137	12
2315	5700	1
4107	4414	1
4813	4862	0
3938	675	4
1875	2909	0
2392	3445	1
2986	5194	4
3883	746	1
1946	5700	1
4260	2508	12
5372	297	0
2673	4808	1
2222	323	12
1542	248	4
2324	3062	0
783	3217	1
3804	4825	0
4546	2555	12
2737	2909	0
3877	2679	1
5516	4796	4
1794	2555	12
735	5479	4
1759	3445	1
1041	4808	1
5696	5495	12
3381	4935	4
5397	3432	12
577	3962	6
3586	578	12
5469	3611	12
3501	323	12
1109	3353	1
4584	3353	1
2833	4808	1
2822	4648	12
2552	4137	12
4510	360	12
61	578	12
1511	2621	12
5549	425	0
1778	323	12
3015	1498	4
1901	3376	4
4932	578	12
2182	2294	0
742	2679	1
2878	3353	1
1677	2294	0
2888	205	4
2991	2294	0
612	425	0
4306	5623	1
86	3103	1
3823	2611	1
4580	2621	12
1616	3432	12
5389	323	12
2252	425	0
368	297	0
1893	323	12
4959	3445	1
3923	2555	12
2208	5495	12
4623	360	12
2819	5495	12
1465	3103	1
317	3716	12
164	3353	1
1503	2480	1
5208	360	12
1062	2508	12
5228	5326	4
4193	2480	1
2805	3062	0
4582	425	0
685	3716	12
172	421	12
2493	2294	0
5067	3432	12
1640	2555	12
1770	297	0
3614	5495	12
332	4825	0
1590	578	12
5128	297	0
922	3445	1
3924	4808	1
3091	425	0
2948	923	12
3552	5623	1
993	2294	0
3312	323	12
2630	3716	12
3387	1241	4
2046	2294	0
622	746	1
5663	4414	1
2934	3062	0
4109	821	4
3822	425	0
4148	3062	0
2923	3062	0
1219	3445	1
819	425	0
5051	2909	0
2993	425	0
4591	746	1
3089	3432	12
4411	5623	1
2077	3062	0
2877	1171	12
2189	5700	1
1969	1418	4
2146	4137	12
2312	4137	12
1868	2909	0
3429	5310	4
3323	3920	4
4021	923	12
346	5623	1
2672	3432	12
5340	5623	1
3507	3716	12
4482	2480	1
3590	2555	12
2690	4137	12
4154	5015	4
353	4825	0
1161	425	0
3799	360	12
3675	2679	1
2204	2679	1
604	297	0
868	421	12
5402	2611	1
2378	3103	1
2703	323	12
5499	2480	1
3849	5623	1
5045	4137	12
1970	4825	0
5166	2611	1
637	3611	12
2862	3611	12
1191	2611	1
3546	3217	1
1611	3611	12
3133	3716	12
4569	5623	1
3591	2555	12
4716	248	4
1615	2611	1
4486	2277	4
3543	425	0
516	3611	12
4117	3445	1
3397	2229	4
4293	1388	4
5656	323	12
1852	893	12
439	3716	12
98	2679	1
2504	3445	1
1337	4283	4
4836	2480	1
5444	4825	0
4135	3916	4
4290	5534	4
3415	3103	1
2978	4893	4
243	4229	4
4315	1811	12
4833	3716	12
1497	2294	0
3952	3611	12
1586	5700	1
2365	3445	1
128	3445	1
2982	4414	1
749	3062	0
1529	3217	1
2736	3548	4
794	746	1
4780	3232	12
2529	5118	12
182	323	12
19	2555	12
4760	5623	1
797	4808	1
805	4974	4
939	360	12
4601	425	0
344	5700	1
3712	3217	1
4059	2679	1
20	578	12
23	5541	4
3270	3103	1
3522	4414	1
1155	2909	0
4665	3298	4
4293	5495	12
2799	4825	0
1841	3611	12
1654	4137	12
3568	756	4
733	1833	4
3391	2679	1
4557	323	12
4635	297	0
1168	5479	4
1986	2294	0
4171	425	0
5106	2679	1
3347	297	0
1939	2002	4
2857	5700	1
1627	425	0
8	3062	0
3668	4808	1
2926	2376	4
409	4808	1
4603	2508	12
2190	3445	1
3516	2611	1
4614	4862	0
4470	2679	1
149	2480	1
4662	893	12
2059	323	12
1352	2480	1
2281	4414	1
4727	2679	1
4967	297	0
5197	297	0
289	746	1
1119	425	0
3617	2611	1
1282	3432	12
1942	360	12
1561	4137	12
1704	2679	1
5504	1180	4
2306	3445	1
2504	3898	4
4929	421	12
1963	425	0
3151	3962	6
5026	2555	12
5443	3432	12
2020	2909	0
4991	2555	12
1608	2508	12
4821	4137	12
5708	2480	1
3765	2508	12
1326	3079	4
3129	1389	4
3681	923	12
482	2555	12
3801	893	12
4611	3445	1
3832	4414	1
4885	2679	1
3	323	12
3652	2480	1
5292	4304	4
4523	2679	1
2953	360	12
2339	5495	12
1073	5700	1
4017	82	4
26	3432	12
3160	3962	6
1772	2004	4
3773	3179	4
280	3432	12
614	3445	1
2599	5623	1
5137	2611	1
3023	923	12
1486	4414	1
3179	4799	12
2605	3062	0
4707	3962	6
4257	4583	1
674	893	12
3316	2202	4
3641	2508	12
2827	3611	12
190	360	12
2417	297	0
4007	893	12
4595	3432	12
2995	4137	12
4408	425	0
5435	4862	0
679	360	12
43	2508	12
2156	3062	0
2888	3353	1
3664	4414	1
2295	360	12
4653	3962	6
2039	3217	1
4189	3716	12
42	2679	1
3803	2679	1
5164	1224	12
2222	5623	1
475	2611	1
889	3062	0
4767	3611	12
1111	323	12
3867	297	0
2440	323	12
1092	2555	12
2340	5151	4
615	2294	0
853	3217	1
5226	2679	1
1869	4414	1
180	2679	1
4349	3120	4
4979	923	12
2258	578	12
1109	3044	4
4560	3716	12
313	2621	12
2124	2480	1
5129	3432	12
3501	5623	1
2823	5700	1
1567	3062	0
3549	746	1
333	746	1
2430	2294	0
4326	578	12
105	425	0
2618	5310	4
4886	1953	4
4008	1789	4
1879	360	12
192	3445	1
504	3062	0
2858	5495	12
2144	3445	1
2324	2679	1
2271	3103	1
5207	4414	1
921	2508	12
5000	4414	1
4776	3103	1
529	3445	1
559	5700	1
5022	4825	0
5180	323	12
4907	3148	4
942	3611	12
2012	3103	1
1271	4283	4
1601	2255	4
1394	746	1
3043	2555	12
5586	578	12
165	3445	1
935	3445	1
91	2679	1
1893	5623	1
371	425	0
4746	3217	1
3201	2294	0
1041	3122	4
913	425	0
4850	2480	1
3915	3353	1
4302	2480	1
959	1625	4
4249	4583	1
5141	297	0
3987	3445	1
170	2621	12
5498	4414	1
1960	3780	4
1139	3309	4
2722	3103	1
5089	4137	12
427	2480	1
1647	2611	1
3833	4137	12
4287	3611	12
987	2621	12
5183	578	12
4984	297	0
1069	3117	12
2355	1055	4
3312	5623	1
1384	323	12
553	2909	0
312	421	12
3548	5468	12
4518	1304	4
3689	2294	0
652	4414	1
3156	4137	12
994	5454	4
4784	2621	12
5485	2294	0
3070	323	12
82	4242	12
5471	4862	0
2518	421	12
1873	2555	12
400	2822	4
4328	893	12
2471	4137	12
3966	4825	0
4877	4862	0
