851
2377	3142	9
135	2030	9
2287	3063	10
223	4424	8
2935	5550	9
2582	5561	9
4883	3995	9
1889	1775	9
3994	3886	9
5587	79	8
2900	2799	8
3986	3831	8
673	1717	9
3050	2177	8
148	1929	9
5370	4782	9
347	1197	9
4823	4031	9
54	5454	9
131	5325	9
937	602	9
2376	2551	9
3704	4109	8
1902	310	8
2852	186	8
4375	3333	8
1153	4680	9
1938	857	9
1485	1544	8
2784	1512	8
1029	2332	8
1912	4631	10
4089	1969	9
3644	5141	8
4259	1973	8
991	3950	8
881	2286	8
1338	2319	9
895	1105	9
2748	3120	8
5251	2122	8
4953	650	10
2309	3870	8
149	166	9
2188	3448	8
5349	2310	9
4933	2336	8
4433	1830	8
1217	4890	9
4343	1001	9
5704	3833	9
5687	321	8
3750	3890	8
4447	5611	9
3517	2202	9
936	2180	9
1456	2285	9
4524	355	8
1256	3866	8
2055	849	9
5209	590	9
4375	2837	8
1503	5529	9
3927	3141	8
5149	5263	9
3981	2053	9
1601	1323	8
3441	2378	8
5017	697	9
5130	2392	9
560	2742	8
5241	133	8
4741	180	8
5251	331	9
4494	5032	9
2173	2231	9
3633	2598	9
5583	3787	8
3805	2492	9
539	1724	9
160	4855	9
2063	475	8
973	739	9
1335	2505	9
1509	5099	8
3512	4685	8
4446	1433	8
4149	698	9
2761	5453	9
1527	3874	8
4187	2459	8
4478	4814	9
5213	3935	9
1458	3861	9
928	3408	8
3182	1843	8
349	844	8
3376	2324	8
5021	4140	9
4363	3481	9
4300	3012	9
515	5466	8
1868	1413	9
3743	3211	9
2955	1357	8
3797	5056	9
1026	1	9
1920	2999	9
2409	1730	9
3829	4515	9
1353	4775	8
438	5145	8
2738	603	10
2337	4359	8
1675	5018	9
4267	5389	8
2824	1383	9
5482	5044	8
1543	5685	9
1282	4548	9
4477	3562	9
3393	3740	9
4514	4297	9
4017	3608	9
4517	4997	8
905	5207	8
2123	4647	9
952	5566	10
5291	2608	8
2474	2965	8
5663	3462	9
781	511	8
3317	1526	8
4158	795	9
2100	953	8
5404	599	9
1672	2106	9
4833	1726	10
3815	306	9
3301	1649	9
4944	1892	8
542	1990	9
2416	4336	8
253	3226	9
4870	5014	8
5612	3434	8
2977	4681	9
4176	2791	9
330	885	9
968	3150	9
3566	1532	8
3023	4628	10
5552	1626	8
2993	5001	9
4781	216	8
3644	3096	8
4789	3737	9
3072	1484	9
821	2871	10
3066	1721	8
3731	1474	8
4355	4763	9
1698	2538	8
164	1291	8
1796	768	8
3838	818	9
760	5385	9
3847	318	9
5279	2843	9
2971	175	9
1487	4453	9
3427	1055	8
4560	2357	9
3056	3878	9
2786	2401	9
4169	4452	9
1959	3767	9
1294	1248	9
1135	5102	9
4067	4122	9
3717	1987	9
4393	1339	8
5350	669	8
5053	230	9
2341	5478	8
915	4914	8
4073	2865	8
3220	1735	8
1826	4976	9
2189	503	9
4233	5662	9
2373	1216	9
3458	917	9
3227	419	9
5522	256	9
